title,url
CENTER ACROSS SELECTION,https://itsalocke.com/blog/center-across-selection/
DYNAMIC NAMED RANGES – THE BASICS,https://itsalocke.com/blog/dynamic-named-ranges--the-basics/
SSIS BASICS AND GOTCHAS – PRESENTATION AND RESOURCES,https://itsalocke.com/blog/ssis-basics-and-gotchas--presentation-and-resources/
REGEX FUNCTIONS IN VBA,https://itsalocke.com/blog/regex-functions-in-vba/
TIRED OF RIGHT-CLICKING ON FOLDERS AND GOING TO PROPERTIES TO GET THE FOLDER SIZE?,https://itsalocke.com/blog/tired-of-right-clicking-on-folders-and-going-to-properties-to-get-the-folder-size/
R FOR DATABASE AND EXCEL PEOPLE,https://itsalocke.com/blog/r-for-database-and-excel-people/
DATABASE / BI RELATED UNIT TESTING OPTIONS,https://itsalocke.com/blog/database-/-bi-related-unit-testing-options/
THE BASICS OF COMMON TABLE EXPRESSIONS (CTES),https://itsalocke.com/blog/the-basics-of-common-table-expressions-ctes/
OVERCOMING SOCIAL ANXIETY TO ATTEND USER GROUPS,https://itsalocke.com/blog/overcoming-social-anxiety-to-attend-user-groups/
AUTOMATED DOCUMENTATION HOSTING ON GITHUB VIA TRAVIS-CI,https://itsalocke.com/blog/automated-documentation-hosting-on-github-via-travis-ci/
AUTO-DEPLOYING DOCUMENTATION: FASTER!,https://itsalocke.com/blog/auto-deploying-documentation-faster/
auTO-DEPLOYING DOCUMENTATION: BETTER CHANGE TRACKING OF ARTEFACTS,https://itsalocke.com/blog/auto-deploying-documentation-better-change-tracking-of-artefacts/
USE YOUR .RPROFILE TO GIVE YOU IMPORTANT NOTIFICATIONS,https://itsalocke.com/blog/use-your-.rprofile-to-give-you-important-notifications/
GIVING BACK WITH CODE,https://itsalocke.com/blog/giving-back-with-code/
5 USEFUL CSS SITES,https://itsalocke.com/blog/5-useful-css-sites/
QUICK TIP: PASSING VALUES TO A BASH SCRIPT,https://itsalocke.com/blog/quick-tip-passing-values-to-a-bash-script/
QUICK TIP: KNITR PYTHON WINDOWS SETUP CHECKLIST,https://itsalocke.com/blog/quick-tip-knitr-python-windows-setup-checklist/
R QUICK TIP: MICROSOFT COGNITIVE SERVICES’ TEXT ANALYTICS API,https://itsalocke.com/blog/r-quick-tip-microsoft-cognitive-services-text-analytics-api/
R QUICK TIP: TABLE PARAMETERS FOR RMARKDOWN REPORTS,https://itsalocke.com/blog/r-quick-tip-table-parameters-for-rmarkdown-reports/
R QUICK TIP: UPLOAD MULTIPLE FILES IN SHINY AND CONSOLIDATE INTO A DATASET,https://itsalocke.com/blog/r-quick-tip-upload-multiple-files-in-shiny-and-consolidate-into-a-dataset/
R QUICK TIP: PARAMETER RE-USE WITHIN RMARKDOWN YAML,https://itsalocke.com/blog/r-quick-tip-parameter-re-use-within-rmarkdown-yaml/
WHY DATA PEOPLE DON’T DO DEVOPS,https://itsalocke.com/blog/why-data-people-dont-do-devops/
WORKING WITH PDFS - SCRAPING THE PASS BUDGET,https://itsalocke.com/blog/working-with-pdfs---scraping-the-pass-budget/
